                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  0.654,                0.35157,                0.84154,                 0.8494,                 0.8569,                0.89891,                0.69284,                0.74826,                0.54614,                0.83691,               0.001882,               0.001882,               0.001882
                     84,                0.64698,                0.34671,                0.83948,                0.85227,                0.85244,                0.89917,                0.69334,                0.74813,                 0.5465,                0.83692,               0.001783,               0.001783,               0.001783
                     85,                0.64567,                0.34747,                0.83767,                0.84629,                0.85936,                0.89937,                 0.6936,                  0.748,                0.54794,                0.83621,               0.001684,               0.001684,               0.001684
                     86,                0.64037,                 0.3427,                0.83677,                0.85606,                0.84816,                0.89888,                0.69305,                0.74825,                0.54949,                0.83619,               0.001585,               0.001585,               0.001585
                     87,                0.63952,                0.34105,                0.83671,                0.85753,                0.84692,                 0.8975,                0.69279,                0.74812,                 0.5502,                0.83562,               0.001486,               0.001486,               0.001486
                     88,                0.63708,                0.33959,                0.83559,                0.85852,                0.84421,                0.89737,                0.69311,                0.74817,                0.55186,                0.83525,               0.001387,               0.001387,               0.001387
                     89,                0.62932,                0.33521,                0.83547,                0.84683,                0.85857,                0.89738,                0.69318,                0.74836,                0.55265,                0.83536,               0.001288,               0.001288,               0.001288
                     90,                0.62443,                0.33388,                0.83373,                0.86491,                0.84008,                0.89746,                0.69307,                0.74803,                 0.5539,                0.83516,               0.001189,               0.001189,               0.001189
                     91,                0.62325,                0.31485,                0.83389,                0.86381,                0.84146,                0.89706,                0.69351,                0.74825,                0.55396,                0.83561,                0.00109,                0.00109,                0.00109
                     92,                0.61579,                0.30985,                0.83301,                0.85264,                0.85011,                0.89678,                0.69259,                0.74793,                0.55538,                0.83582,               0.000991,               0.000991,               0.000991
                     93,                0.60972,                0.30534,                0.83215,                0.85134,                0.85195,                0.89636,                0.69252,                0.74811,                0.55708,                0.83625,               0.000892,               0.000892,               0.000892
                     94,                0.60393,                0.30184,                0.83132,                0.85252,                0.85056,                0.89549,                0.69179,                0.74859,                0.56007,                0.83667,               0.000793,               0.000793,               0.000793
                     95,                0.59542,                0.29786,                0.82892,                0.85615,                0.84876,                0.89491,                 0.6912,                0.74868,                0.56058,                0.83707,               0.000694,               0.000694,               0.000694
                     96,                0.59263,                 0.2953,                0.82767,                0.84949,                0.85398,                0.89377,                0.69075,                0.74884,                0.56229,                0.83711,               0.000595,               0.000595,               0.000595
                     97,                0.58701,                 0.2917,                0.82673,                0.85178,                0.85209,                0.89404,                0.69031,                0.74864,                0.56359,                0.83705,               0.000496,               0.000496,               0.000496
                     98,                0.58286,                0.28976,                0.82687,                0.85113,                0.85262,                0.89333,                0.68958,                0.74868,                0.56538,                0.83732,               0.000397,               0.000397,               0.000397
                     99,                0.57586,                0.28595,                0.82433,                0.85216,                0.85066,                0.89311,                0.68965,                 0.7484,                0.56636,                0.83731,               0.000298,               0.000298,               0.000298
                    100,                0.57425,                 0.2846,                0.82478,                0.85221,                0.85086,                0.89265,                0.68955,                0.74829,                0.56737,                0.83743,               0.000199,               0.000199,               0.000199
