                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.69102,                 0.8327,                0.36266,                0.84417,                0.84432,                0.87298,                0.90649,                0.70074,                0.82987,                0.86043,                0.89424,                0.69231,                0.74498,                0.66212,                0.53499,                0.83084,                0.00109,                0.00109,                0.00109
                     92,                0.68031,                0.81789,                0.35685,                 0.8426,                0.84464,                0.87184,                0.90637,                0.70069,                0.83106,                0.85854,                 0.8944,                 0.6925,                0.74513,                0.66163,                0.53544,                0.83089,               0.000991,               0.000991,               0.000991
                     93,                0.67722,                0.81745,                0.35381,                0.84047,                0.84471,                0.87154,                0.90635,                0.70081,                0.83176,                0.85818,                0.89463,                0.69256,                0.74543,                 0.6618,                0.53559,                0.83091,               0.000892,               0.000892,               0.000892
                     94,                0.67283,                0.81126,                0.34976,                0.83886,                0.84429,                0.87134,                0.90615,                0.70069,                0.83141,                0.85805,                0.89447,                0.69242,                0.74544,                0.66235,                0.53685,                0.83092,               0.000793,               0.000793,               0.000793
                     95,                0.66808,                0.80612,                0.34521,                0.83875,                0.84364,                0.87366,                 0.9063,                0.70091,                0.82999,                 0.8608,                 0.8943,                0.69279,                0.74535,                0.66258,                0.53741,                0.83085,               0.000694,               0.000694,               0.000694
                     96,                0.66307,                0.80548,                0.34336,                0.83686,                0.84366,                  0.873,                0.90641,                0.70096,                 0.8308,                0.85971,                0.89425,                0.69278,                0.74536,                0.66258,                0.53775,                0.83066,               0.000595,               0.000595,               0.000595
                     97,                0.66048,                0.80571,                0.34067,                0.83657,                0.84364,                0.87267,                0.90621,                0.70072,                0.83033,                0.85891,                0.89357,                0.69233,                0.74552,                0.66297,                0.53862,                0.83064,               0.000496,               0.000496,               0.000496
                     98,                0.65764,                0.79839,                0.33861,                0.83648,                0.84383,                0.87237,                0.90597,                0.70053,                 0.8292,                0.85934,                0.89329,                0.69223,                0.74559,                0.66343,                0.53897,                0.83058,               0.000397,               0.000397,               0.000397
                     99,                0.65312,                0.79637,                0.33501,                0.83524,                0.84439,                0.87173,                0.90592,                0.70071,                 0.8304,                0.85824,                0.89334,                0.69257,                0.74588,                0.66388,                0.53952,                0.83059,               0.000298,               0.000298,               0.000298
                    100,                0.64822,                0.79367,                0.33225,                0.83488,                0.84533,                0.87193,                0.90573,                0.70053,                0.83187,                0.85808,                0.89318,                0.69225,                0.74602,                0.66467,                0.54027,                 0.8306,               0.000199,               0.000199,               0.000199
