                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.70908,                0.84538,                0.39699,                 0.8568,                  0.842,                0.86766,                0.90551,                0.69951,                0.83057,                0.85589,                 0.8953,                0.69449,                0.74229,                0.67192,                0.53154,                0.83887,                0.00307,                0.00307,                0.00307
                     72,                0.70325,                0.83558,                0.39035,                0.85291,                0.84398,                0.86644,                 0.9052,                0.69965,                0.83022,                0.85607,                0.89494,                0.69515,                  0.742,                0.67407,                0.53173,                0.83841,               0.002971,               0.002971,               0.002971
                     73,                0.69995,                0.83723,                0.38751,                0.85394,                0.84208,                0.86964,                0.90511,                0.70015,                0.83066,                0.85809,                0.89582,                0.69579,                0.74168,                0.67398,                0.53266,                0.83836,               0.002872,               0.002872,               0.002872
                     74,                0.69969,                0.83331,                0.38508,                0.85588,                0.84054,                0.87072,                0.90459,                0.70032,                0.82952,                0.85926,                0.89526,                 0.6942,                0.74226,                0.67419,                0.53248,                0.83869,               0.002773,               0.002773,               0.002773
                     75,                0.69839,                0.83358,                0.38337,                0.85317,                0.84241,                0.86965,                0.90405,                0.70018,                0.83508,                0.85411,                0.89442,                0.69434,                0.74237,                 0.6738,                0.53346,                0.83886,               0.002674,               0.002674,               0.002674
                     76,                0.69503,                0.83111,                0.38121,                0.85144,                0.84503,                  0.869,                 0.9038,                0.69986,                0.83437,                0.85544,                0.89352,                0.69424,                0.74274,                0.67369,                0.53354,                0.83881,               0.002575,               0.002575,               0.002575
                     77,                0.68818,                0.82001,                0.37848,                0.85218,                0.84442,                  0.868,                0.90312,                 0.6996,                0.83577,                0.85455,                0.89267,                0.69321,                0.74348,                0.67464,                0.53544,                0.83906,               0.002476,               0.002476,               0.002476
                     78,                0.67906,                0.81158,                0.37138,                0.84991,                0.84528,                0.86849,                0.90311,                0.69915,                0.83547,                0.85382,                0.89216,                0.69228,                0.74354,                0.67617,                0.53378,                 0.8392,               0.002377,               0.002377,               0.002377
                     79,                0.68089,                0.81204,                0.37105,                0.84976,                0.84616,                 0.8666,                0.90321,                0.69899,                0.83954,                0.84889,                0.89228,                0.69299,                0.74356,                0.67544,                0.53485,                0.83951,               0.002278,               0.002278,               0.002278
                     80,                0.67238,                0.80861,                0.36643,                0.85093,                0.84679,                0.86564,                0.90297,                0.69849,                0.84012,                0.84859,                 0.8919,                0.69234,                0.74346,                0.67591,                0.53716,                0.83989,               0.002179,               0.002179,               0.002179
                     81,                0.67048,                0.80405,                0.36326,                0.84712,                0.85132,                0.86047,                0.90268,                0.69813,                0.84013,                 0.8483,                0.89109,                0.69133,                0.74356,                0.67407,                  0.538,                0.83992,                0.00208,                0.00208,                0.00208
                     82,                0.66766,                0.80291,                0.36173,                 0.8486,                0.84715,                0.86312,                0.90252,                0.69824,                0.83897,                0.84827,                0.89107,                0.69122,                0.74333,                0.67449,                0.53822,                0.83995,               0.001981,               0.001981,               0.001981
                     83,                 0.6641,                0.79633,                0.35729,                0.84582,                0.84736,                0.86317,                0.90156,                 0.6979,                0.83529,                0.85024,                0.89037,                0.69139,                0.74309,                0.67539,                0.54021,                0.83977,               0.001882,               0.001882,               0.001882
                     84,                0.66138,                0.79832,                0.35789,                0.84453,                0.84706,                0.86307,                0.90098,                  0.698,                0.83534,                0.85073,                0.88973,                0.69057,                0.74276,                 0.6758,                0.54153,                0.83914,               0.001783,               0.001783,               0.001783
                     85,                0.65539,                0.78768,                0.35214,                0.84529,                0.84466,                0.86487,                0.90086,                0.69801,                 0.8354,                0.84986,                0.89001,                0.69133,                0.74228,                0.67656,                0.54177,                0.83884,               0.001684,               0.001684,               0.001684
                     86,                0.64885,                0.78791,                0.34925,                0.84358,                 0.8521,                0.85914,                0.90055,                0.69774,                0.84056,                0.84752,                0.88952,                0.69123,                0.74223,                0.67684,                0.54298,                0.83884,               0.001585,               0.001585,               0.001585
                     87,                0.64809,                0.78496,                0.34653,                0.84203,                0.85264,                0.85843,                0.90005,                0.69748,                0.84158,                0.84638,                0.88958,                0.69101,                0.74227,                 0.6772,                0.54406,                0.83895,               0.001486,               0.001486,               0.001486
                     88,                0.64697,                0.78084,                 0.3478,                0.84023,                0.85016,                0.85927,                0.90001,                0.69757,                0.83981,                0.84628,                0.88879,                0.69067,                0.74249,                0.67747,                0.54435,                0.83915,               0.001387,               0.001387,               0.001387
                     89,                0.64202,                 0.7763,                0.34376,                0.83925,                0.84957,                0.85929,                 0.9001,                0.69745,                0.83847,                0.84695,                0.88874,                0.69081,                0.74242,                0.67763,                0.54488,                 0.8391,               0.001288,               0.001288,               0.001288
                     90,                 0.6383,                0.77599,                0.33978,                0.83914,                0.83973,                0.86929,                0.89997,                0.69712,                0.83931,                 0.8455,                0.88869,                 0.6907,                0.74289,                0.67875,                0.54539,                0.83935,               0.001189,               0.001189,               0.001189
                     91,                0.63717,                 0.7886,                0.32159,                0.84017,                0.83875,                0.87017,                0.89996,                0.69702,                0.83855,                 0.8457,                0.88846,                   0.69,                0.74278,                0.67889,                0.54586,                0.83939,                0.00109,                0.00109,                0.00109
                     92,                 0.6284,                0.77247,                0.31648,                0.83735,                0.83843,                0.86984,                0.89985,                0.69703,                0.84244,                 0.8414,                0.88831,                 0.6895,                  0.743,                0.67961,                0.54688,                0.83953,               0.000991,               0.000991,               0.000991
                     93,                0.62373,                 0.7722,                0.31346,                0.83619,                0.83804,                0.87014,                 0.8997,                0.69718,                0.83045,                0.85378,                0.88797,                0.68926,                0.74309,                0.68018,                0.54785,                0.83963,               0.000892,               0.000892,               0.000892
                     94,                0.61622,                0.76637,                0.30861,                0.83537,                0.83797,                   0.87,                0.89957,                0.69719,                0.83063,                0.85392,                0.88785,                0.68912,                0.74315,                0.68065,                 0.5484,                0.83969,               0.000793,               0.000793,               0.000793
                     95,                0.61144,                0.76668,                0.30573,                0.83227,                 0.8399,                0.86845,                0.89965,                0.69725,                0.83181,                0.85123,                0.88779,                0.68889,                0.74324,                0.68124,                0.54935,                0.83992,               0.000694,               0.000694,               0.000694
                     96,                0.60503,                0.76068,                 0.3008,                0.83078,                0.84093,                0.86661,                0.89901,                0.69713,                0.83235,                0.85033,                0.88762,                0.68886,                0.74351,                0.68167,                0.55139,                0.84006,               0.000595,               0.000595,               0.000595
                     97,                0.60088,                0.75717,                0.29894,                0.83071,                0.84205,                0.86519,                0.89883,                0.69695,                0.83205,                0.85076,                0.88745,                0.68844,                0.74355,                0.68237,                 0.5532,                0.84017,               0.000496,               0.000496,               0.000496
                     98,                0.59715,                0.74867,                0.29633,                0.83005,                0.84272,                0.86465,                 0.8989,                0.69685,                0.83246,                0.85054,                0.88719,                0.68816,                0.74366,                0.68252,                 0.5541,                0.84024,               0.000397,               0.000397,               0.000397
                     99,                0.59101,                0.74446,                 0.2936,                0.82767,                0.84407,                 0.8628,                0.89875,                0.69656,                0.83297,                 0.8505,                 0.8871,                0.68813,                0.74381,                0.68298,                0.55468,                0.84032,               0.000298,               0.000298,               0.000298
                    100,                0.58838,                0.74063,                0.29166,                0.82958,                0.84268,                0.86449,                0.89839,                0.69648,                0.83228,                0.85083,                0.88631,                0.68819,                0.74396,                0.68333,                0.55532,                0.84038,               0.000199,               0.000199,               0.000199
